frame_time,frame,dist_x,frame_time,H,W,C_x,C_y,dist_y,gps_dist,unit,vehicle
2020-03-06 20:48:28,309390,48.46702702702703,20:48:28,37,48,432.0,393.5,33.23500000000001,32.43947490374395,10,car
2020-03-06 20:48:29,309420,48.46702702702703,20:48:29,37,48,430.0,396.5,33.23500000000001,32.43947490374395,10,car
2020-03-06 20:48:30,309450,48.46702702702703,20:48:30,37,48,432.0,393.5,33.23500000000001,32.43947490374395,10,car
2020-03-06 20:48:31,309480,45.98153846153846,20:48:31,34,46,437.0,395.0,36.167500000000004,32.43947490374395,10,car
2020-03-06 20:48:32,309510,48.46702702702703,20:48:32,34,46,437.0,395.0,36.167500000000004,32.43947490374395,10,car
2020-03-06 20:48:33,309540,48.46702702702703,20:48:33,34,46,437.0,400.0,36.167500000000004,32.43947490374395,10,car
2020-03-06 20:48:34,309570,48.46702702702703,20:48:34,34,48,436.0,395.0,36.167500000000004,32.43947490374395,10,car
2020-03-06 20:48:35,309600,48.46702702702703,20:48:35,37,50,417.0,391.5,33.23500000000001,32.43947490374395,10,car
2020-03-06 20:48:36,309630,45.98153846153846,20:48:36,37,50,373.0,391.5,33.23500000000001,32.40046508248258,10,car
2020-03-06 20:48:37,309660,43.73853658536585,20:48:37,39,58,325.0,389.5,31.530641025641028,30.00967502970632,10,car
2020-03-06 20:48:38,309690,39.85066666666667,20:48:38,45,90,349.0,403.5,27.326555555555558,27.87075981943585,10,car
2020-03-06 20:48:39,309720,37.36,20:48:39,45,116,492.0,408.5,27.326555555555558,25.83579425961197,10,car
2020-03-06 20:48:40,309750,30.91862068965517,20:48:40,52,138,747.0,431.0,23.647980769230774,22.239925523950475,10,car
2020-03-06 20:48:46,309930,17.078857142857142,20:48:46,105,248,338.0,396.5,11.711380952380955,20.18027812304035,10,car
2020-03-06 20:48:47,309960,18.48742268041237,20:48:47,92,228,684.0,416.0,13.366250000000003,18.788673434906286,10,car
2020-03-06 20:48:48,309990,41.70418604651163,20:48:48,37,88,668.0,409.5,33.23500000000001,18.852244894743475,10,car
2020-03-06 20:48:49,310020,24.233513513513515,20:48:49,66,116,58.0,385.0,18.631742424242425,18.852244894743475,10,car
2020-03-06 20:48:50,310050,28.02,20:48:50,63,176,276.0,393.5,19.518968253968257,21.08243318545185,10,car
2020-03-06 20:48:51,310080,28.923870967741934,20:48:51,63,152,372.0,398.5,19.518968253968257,20.417076032658347,10,car
2020-03-06 20:48:52,310110,24.233513513513515,20:48:52,71,108,404.0,405.5,17.319647887323946,18.18418206901009,10,car
2020-03-06 20:48:53,310140,20.37818181818182,20:48:53,90,118,375.0,410.0,13.663277777777779,12.275465676978817,10,car
2020-03-06 20:48:54,310170,15.869734513274336,20:48:54,113,156,348.0,416.5,10.882256637168142,9.770733623462684,10,car
2020-03-06 20:48:55,310200,11.9552,20:48:55,145,204,318.0,426.5,8.480655172413794,8.189911076481458,10,car
2020-03-06 20:39:50,293850,11.644675324675324,20:39:50,150,222,329.0,427.0,8.197966666666668,9.201633594937256,10,car
2020-03-06 20:39:51,293880,15.327179487179489,20:39:51,116,162,357.0,412.0,10.600818965517243,12.04358560322416,10,car
2020-03-06 20:39:52,293910,21.34857142857143,20:39:52,82,112,386.0,408.0,14.99628048780488,16.523435984737343,10,car
2020-03-06 20:39:53,293940,30.91862068965517,20:39:53,55,76,410.0,400.5,22.35809090909091,22.68330786324065,10,car
2020-03-06 20:39:54,293970,41.70418604651163,20:39:54,45,56,432.0,395.5,27.326555555555558,30.271642362669468,10,car
2020-03-06 20:39:55,294000,54.34181818181818,20:39:55,31,44,442.0,393.5,39.667580645161294,38.3002160432223,10,car
2020-03-06 20:39:56,294030,61.83724137931034,20:39:56,26,36,444.0,399.0,47.29596153846155,50.49809463861231,10,car
2020-03-06 20:39:57,294060,66.41777777777777,20:39:57,21,30,445.0,388.5,58.55690476190477,58.21934248202915,10,car
2020-03-06 20:39:58,294090,77.9686956521739,20:39:58,18,28,446.0,387.0,68.3163888888889,60.46511732616398,10,car
2020-03-06 20:39:59,294120,85.39428571428572,20:39:59,15,24,444.0,388.5,81.97966666666667,61.4818748962622,10,car
2020-03-06 20:40:04,294270,105.4870588235294,20:40:04,15,20,450.0,390.5,81.97966666666667,61.82947305694245,10,car
2020-03-06 20:40:05,294300,94.38315789473684,20:40:05,15,22,449.0,393.5,81.97966666666667,61.89932528908211,10,car
2020-03-06 20:40:06,294330,105.4870588235294,20:40:06,15,24,450.0,390.5,81.97966666666667,61.23302469801748,10,car
2020-03-06 20:40:07,294360,85.39428571428572,20:40:07,18,24,448.0,392.0,68.3163888888889,59.9259865245222,10,car
2020-03-06 20:40:08,294390,77.9686956521739,20:40:08,18,28,446.0,390.0,68.3163888888889,58.03524922509652,10,car
2020-03-06 20:40:09,294420,71.7312,20:40:09,23,32,444.0,389.5,53.46500000000001,55.55117828423793,10,car
2020-03-06 20:40:10,294450,66.41777777777777,20:40:10,23,36,448.0,389.5,53.46500000000001,52.32273363782448,10,car
2020-03-06 20:40:11,294480,54.34181818181818,20:40:11,29,46,449.0,389.5,42.40327586206897,40.79869116217984,10,car
2020-03-06 20:40:12,294510,41.70418604651163,20:40:12,39,54,443.0,394.5,31.530641025641028,33.05965558305055,10,car
2020-03-06 20:40:13,294540,29.888,20:40:13,52,74,443.0,401.0,23.647980769230774,25.262288711347484,10,car
2020-03-06 20:40:14,294570,18.48742268041237,20:40:14,97,144,510.0,418.5,12.677268041237115,17.47330644687516,10,car
2020-03-06 20:40:15,294600,0.0,20:40:15,341,316,800.0,522.5,3.606143695014663,9.815408587396538,10,car
2020-03-06 20:32:50,281250,13.185882352941176,20:32:50,129,196,338.0,424.5,9.532519379844963,9.52450329304385,10,car
2020-03-06 20:32:51,281280,15.327179487179489,20:32:51,113,164,358.0,416.5,10.882256637168142,10.74172780826413,10,car
2020-03-06 20:32:52,281310,20.37818181818182,20:32:52,84,116,388.0,407.0,14.639226190476192,14.169807804869665,10,car
2020-03-06 20:32:53,281340,30.91862068965517,20:32:53,58,78,409.0,399.0,21.201637931034487,19.321502366965607,10,car
2020-03-06 20:32:54,281370,39.85066666666667,20:32:54,45,60,424.0,392.5,27.326555555555558,34.241620756224535,10,car
2020-03-06 20:32:55,281400,57.84774193548387,20:32:55,29,44,436.0,395.5,42.40327586206897,43.37370736609687,10,car
2020-03-06 20:32:56,281430,66.41777777777777,20:32:56,26,36,446.0,388.0,47.29596153846155,52.85449916431297,10,car
2020-03-06 20:32:57,281460,77.9686956521739,20:32:57,21,30,449.0,401.5,58.55690476190477,67.1590143771196,10,car
2020-03-06 20:33:05,281700,119.552,20:33:05,13,18,461.0,397.5,94.5919230769231,72.07147811739256,10,car
2020-03-06 20:33:08,281790,94.38315789473684,20:33:08,15,22,445.0,390.5,81.97966666666667,76.8185658542077,10,car
2020-03-06 20:33:09,281820,85.39428571428572,20:33:09,18,26,445.0,392.0,68.3163888888889,68.63908131414559,10,car
2020-03-06 20:33:10,281850,85.39428571428572,20:33:10,18,28,448.0,395.0,68.3163888888889,64.13320143178571,10,car
2020-03-06 20:33:11,281880,77.9686956521739,20:33:11,21,30,447.0,393.5,58.55690476190477,54.0052690555168,10,car
2020-03-06 20:33:12,281910,57.84774193548387,20:33:12,26,34,441.0,396.0,47.29596153846155,48.13798069227464,10,car
2020-03-06 20:33:13,281940,57.84774193548387,20:33:13,31,42,441.0,390.5,39.667580645161294,42.1038621015817,10,car
2020-03-06 20:33:14,281970,45.98153846153846,20:33:14,37,52,440.0,393.5,33.23500000000001,35.91327742138857,10,car
2020-03-06 20:33:15,282000,37.36,20:33:15,45,62,433.0,400.5,27.326555555555558,29.85614928354222,10,car
2020-03-06 20:33:16,282030,26.371764705882352,20:33:16,63,86,435.0,404.5,19.518968253968257,23.994158456608037,10,car
2020-03-06 20:33:17,282060,19.28258064516129,20:33:17,90,124,476.0,418.0,13.663277777777779,23.994158456608037,10,car
2020-03-06 20:27:55,272400,14.820495867768594,20:27:55,121,168,390.0,420.5,10.162768595041324,10.421893492263424,10,car
2020-03-06 20:27:56,272430,14.820495867768594,20:27:56,119,168,390.0,421.5,10.33357142857143,10.421893492263424,10,car
2020-03-06 20:27:57,272460,15.869734513274336,20:27:57,119,160,394.0,421.5,10.33357142857143,10.786270612844072,10,car
2020-03-06 20:27:58,272490,18.113939393939397,20:27:58,95,134,407.0,409.5,12.944157894736843,12.429424672029684,10,car
2020-03-06 20:27:59,272520,24.906666666666663,20:27:59,71,100,422.0,405.5,17.319647887323946,16.197765070097265,10,car
2020-03-06 20:28:00,272550,34.48615384615385,20:28:00,52,70,431.0,399.0,23.647980769230774,21.82918349120872,10,car
2020-03-06 20:28:01,272580,43.73853658536585,20:28:01,37,52,436.0,391.5,33.23500000000001,29.378581202262897,10,car
2020-03-06 20:28:02,272610,57.84774193548387,20:28:02,29,40,444.0,389.5,42.40327586206897,46.29547940308839,10,car
2020-03-06 20:28:03,272640,71.7312,20:28:03,23,34,447.0,389.5,53.46500000000001,58.66064288033841,10,car
2020-03-06 20:28:04,272670,77.9686956521739,20:28:04,18,24,448.0,392.0,68.3163888888889,70.39123784112218,10,car
2020-03-06 20:28:12,272910,94.38315789473684,20:28:12,13,18,451.0,395.5,94.5919230769231,73.04258441298289,10,car
2020-03-06 20:28:13,272940,94.38315789473684,20:28:13,13,16,452.0,389.5,94.5919230769231,74.33240721129822,10,car
2020-03-06 20:28:14,272970,94.38315789473684,20:28:14,13,22,455.0,389.5,94.5919230769231,74.0280786283333,10,car
2020-03-06 20:28:15,273000,94.38315789473684,20:28:15,15,22,453.0,390.5,81.97966666666667,72.25504070677987,10,car
2020-03-06 20:28:16,273030,85.39428571428572,20:28:16,18,26,451.0,390.0,68.3163888888889,65.52433248852039,10,car
2020-03-06 20:28:17,273060,77.9686956521739,20:28:17,18,28,450.0,392.0,68.3163888888889,61.014723654084285,10,car
2020-03-06 20:28:18,273090,66.41777777777777,20:28:18,23,36,466.0,389.5,53.46500000000001,51.119589414101874,10,car
2020-03-06 20:28:19,273120,57.84774193548387,20:28:19,29,40,490.0,397.5,42.40327586206897,39.820212258857566,10,car
2020-03-06 20:28:20,273150,48.46702702702703,20:28:20,37,48,516.0,401.5,33.23500000000001,33.54332155515466,10,car
2020-03-06 20:28:21,273180,39.85066666666667,20:28:21,45,64,546.0,405.5,27.326555555555558,27.171979567158992,10,car
2020-03-06 20:28:22,273210,30.91862068965517,20:28:22,55,86,579.0,410.5,22.35809090909091,21.064590981239785,10,car
2020-03-06 20:28:23,273240,20.85209302325581,20:28:23,90,148,646.0,426.0,13.663277777777779,14.765525301706608,10,car
2020-03-06 20:28:24,273270,10.18909090909091,20:28:24,180,296,808.0,468.0,6.8316388888888895,8.687518758099175,10,car
2020-03-06 20:17:42,254010,16.45211009174312,20:17:42,108,146,407.0,419.0,11.386064814814816,12.304926736214613,10,car
2020-03-06 20:17:43,254040,17.410485436893204,20:17:43,103,144,410.0,416.5,11.938786407766992,12.304926736214613,10,car
2020-03-06 20:17:44,254070,19.92533333333333,20:17:44,90,122,417.0,412.0,13.663277777777779,14.722773999964335,10,car
2020-03-06 20:17:45,254100,25.618285714285715,20:17:45,68,96,428.0,404.0,18.083750000000002,18.83187358061395,10,car
2020-03-06 20:17:46,254130,33.208888888888886,20:17:46,52,70,433.0,396.0,23.647980769230774,24.503323157852964,10,car
2020-03-06 20:17:47,254160,43.73853658536585,20:17:47,39,56,436.0,394.5,31.530641025641028,31.512125707133677,10,car
2020-03-06 20:17:48,254190,57.84774193548387,20:17:48,29,44,436.0,392.5,42.40327586206897,48.26443795471788,10,car
2020-03-06 20:17:49,254220,71.7312,20:17:49,21,36,442.0,401.5,58.55690476190477,57.23952966042128,10,car
2020-03-06 20:17:50,254250,77.9686956521739,20:17:50,21,30,437.0,385.5,58.55690476190477,57.23952966042128,10,car
2020-03-06 20:17:59,254520,85.39428571428572,20:17:59,18,26,445.0,392.0,68.3163888888889,67.15929515953965,10,car
2020-03-06 20:18:00,254550,77.9686956521739,20:18:00,21,32,446.0,399.5,58.55690476190477,59.02082537219229,10,car
2020-03-06 20:18:01,254580,71.7312,20:18:01,23,32,448.0,394.5,53.46500000000001,49.63099936136175,10,car
2020-03-06 20:18:02,254610,61.83724137931034,20:18:02,23,36,452.0,392.5,53.46500000000001,44.933907259480975,10,car
2020-03-06 20:18:03,254640,51.23657142857143,20:18:03,34,48,474.0,395.0,36.167500000000004,39.64461991577917,10,car
2020-03-06 20:18:04,254670,43.73853658536585,20:18:04,37,60,508.0,399.5,33.23500000000001,33.594824392161975,10,car
2020-03-06 20:18:05,254700,33.208888888888886,20:18:05,50,76,552.0,414.0,24.593900000000005,26.66518395002069,10,car
2020-03-06 20:18:06,254730,22.416,20:18:06,79,132,616.0,422.5,15.565759493670889,12.564852073727158,10,car
2020-03-06 20:18:07,254760,9.962666666666667,20:18:07,172,304,790.0,461.0,7.1493895348837215,6.145771720325498,10,car
2020-03-06 20:12:35,244800,15.327179487179489,20:12:35,119,166,387.0,421.5,10.33357142857143,15.382472170738891,10,car
2020-03-06 20:12:36,244830,16.155675675675674,20:12:36,111,154,391.0,415.5,11.078333333333335,15.382472170738891,10,car
2020-03-06 20:12:37,244860,20.85209302325581,20:12:37,84,118,407.0,409.0,14.639226190476192,15.382472170738891,10,car
2020-03-06 20:12:38,244890,28.923870967741934,20:12:38,63,86,423.0,401.5,19.518968253968257,20.52910305833061,10,car
2020-03-06 20:12:39,244920,37.36,20:12:39,45,62,435.0,395.5,27.326555555555558,26.64565132039784,10,car
